id,marca,categoria,nombre,descripcion,condicion,estado,fotos
119,1,3,Funko Pocket Pop Keychain Rick and Morty Morty,Llavero marca Funko del personaje Morty; de la divertida serie de Adult Swim Rick y Morty,9,DISPONIBLE,5
120,1,3,Funko Pocket Pop Keychain Rick and Morty Morty,Llavero marca Funko del personaje Morty; de la divertida serie de Adult Swim Rick y Morty,9.5,DISPONIBLE,5
121,1,3,Funko Pocket Pop Keychain Wonder Woman Wonder Woman,Llavero marca Funko del personaje Wonder Woman; del comic y pelicula de DC del mismo nombre,10,DISPONIBLE,5
122,1,3,Funko Pocket Pop Keychain Stranger Things Dustin,Llavero marca Funko del personaje Dustin; asi como aparece en la primera temporada de la serie de Netflix Stranger Things,9.5,DISPONIBLE,5
123,1,3,Funko Pocket Pop Keychain Stranger Things Dustin,Llavero marca Funko del personaje Dustin; asi como aparece en la primera temporada de la serie de Netflix Stranger Things,10,DISPONIBLE,5
124,1,3,Funko Pocket Pop Keychain Stranger Things Barb,Llavero marca Funko del personaje Barb; asi como aparece en la primera temporada de la serie de Netflix Stranger Things,10,DISPONIBLE,5
125,1,3,Funko Pocket Pop Keychain Harry Potter Hermione Granger,Llavero marca Funko del personaje Hermione Granger; de la serie de peliculas y libros Harry Potter,9.5,DISPONIBLE,5
126,1,3,Funko Pocket Pop Keychain Attack on Titan Eren Jaeger,Llavero marca Funko del personaje Eren Jaeger; de la serie hit de anime Shingieji no Kyojin; conocida tambien como Attack on Titan,10,DISPONIBLE,5
127,1,3,Funko Pocket Pop Keychain Attack on Titan Eren Jaeger,Llavero marca Funko del personaje Eren Jaeger; de la serie hit de anime Shingieji no Kyojin; conocida tambien como Attack on Titan,10,DISPONIBLE,5
128,1,3,Funko Pocket Pop Keychain Attack on Titan Eren Jaeger,Llavero marca Funko del personaje Eren Jaeger; de la serie hit de anime Shingieji no Kyojin; conocida tambien como Attack on Titan,10,DISPONIBLE,5
129,1,3,Funko Pocket Pop Keychain Batman,Llavero marca Funko del famoso personaje de DC Comics Batman,9,DISPONIBLE,5
130,1,3,Funko Pocket Pop Keychain Marvel Avengers Age of Ultron Thor,Llavero marca Funko del personaje Thor; asi como aparece en la pelicula de Marvel Vengadores Era de Ultron,10,DISPONIBLE,5
131,1,3,Funko Pocket Pop Keychain Marvel Avengers Age of Ultron Captain America,Llavero marca Funko del personaje Capitan America; asi como aparece en la pelicula de Marvel Vengadores Era de Ultron,9.5,DISPONIBLE,5
132,1,3,Funko Pocket Pop Keychain AMC The Walking Dead Daryl Dixon,Llavero marca Funko del personaje Daryl Dixon; asi como es representado en la serie de AMC The Walking Dead,9,DISPONIBLE,5
133,1,3,Funko Pocket Pop Keychain AMC The Walking Dead Daryl Dixon,Llavero marca Funko del personaje Daryl Dixon; asi como es representado en la serie de AMC The Walking Dead,10,DISPONIBLE,5
134,1,3,Funko Pocket Pop Keychain Justice League Batman,Llavero marca Funko del personaje Batman; asi como aparece en la pelicula de Warner Bros. y DC Liga de la Justicia,10,DISPONIBLE,5
135,1,3,Funko Pocket Pop Keychain Justice League The Flash,Llavero marca Funko del personaje Flash; asi como aparece en la pelicula de Warner Bros. y DC Liga de la Justicia,10,DISPONIBLE,5
136,1,3,Funko Pocket Pop Keychain Marvel Spiderman,Llavero marca Funko del famoso personaje de los comics de Marvel Spiderman,10,DISPONIBLE,5
137,1,3,Funko Pocket Pop Keychain Marvel Deadpool,Llavero marca Funko del famoso personaje de los comics de Marvel Deadpool,10,DISPONIBLE,5
138,1,3,Funko Pocket Pop Keychain Fallout Vault Boy,Llavero marca Funko del personaje icono de la serie de videojuegos de Bethesda Fallout,10,DISPONIBLE,5
139,1,3,Funko Pocket Pop Keychain The Elder Scrolls V Skyrim Dovahkiin,Llavero marca Funko del personaje principal del videojuego de Bethesda The Elder Scrolls V Skyrim; el Dovahkiin,9.5,DISPONIBLE,5
140,1,3,Funko Pocket Pop Keychain Superman,Llavero marca Funko del famoso personaje de comics de DC; Superman,8,DISPONIBLE,5
141,1,3,Funko Pocket Pop Keychain Hatsune Miku,Llavero marca Funko del personaje Hatsune Miku; del programa Vocaloid,9,DISPONIBLE,4
142,1,3,Funko Pocket Pop Keychain Justice League Aquaman,Llavero marca Funko del personaje Aquaman; asi como aparece en la pelicula de Warner Bros. y DC Liga de la Justicia,9,DISPONIBLE,4
143,1,1,Funko Pint size heroes DC Green Lantern Hal Jordan Siniestro,Set de figuras Funko Pint Size Heroes edicion DC Exclusive League of Collectors de los personajes de comics Green Lantern: Hal Jordan y Siniestro,8.5,DISPONIBLE,5
144,2,5,Bioworld The Legend of Zelda Collar Hylian Crest,Collar marca Bioworld con diseño verde/dorado del sello Hylian de la Leyenda de Zelda,10,DISPONIBLE,2
145,2,5,Bioworld The Legend of Zelda Collar Hylian Crest Trifuerza,Collar marca Bioworld con diseño negro del sello Hylian y la trifuerza de la Leyenda de Zelda,10,DISPONIBLE,2
146,1,1,Funko The New Teen Titans DC Exclusive Nightwing,Figura marca funko edicion DC Exclusive League of Collectors del personaje de los New Teen Titans Nightwing,10,DISPONIBLE,2
147,1,1,Funko The New Teen Titans DC Exclusive Raven,Figura marca funko edicion DC Exclusive League of Collectors del personaje de los New Teen Titans Raven,9.5,DISPONIBLE,2
148,7,1,Lego Dimensions fun pack 71210 DC Comics Cyborg,Figura marca Lego Dimensions de Cyborg; de la serie de comics Teen Titans,7.5,DISPONIBLE,4
149,4,1,Lootcrate Cartoon Network Adventure Time The Nice King and Gunter figura,Figura marca Lootcrate del Rey helado y su pinguino Gunter en su trono helado; de la serie animada Hora de Aventura de Cartoon Network,9,DISPONIBLE,6
150,1,1,Funko Pocket Pop Game of Thrones 3 pack en caja metalica,Set de 3 personajes Pocket Pop en caja metalica de la serie de HBO; Juego de Tronos. El set inluye figuras de Daenerys Stormborn; Tyrion Lannister y John Snow,10,DISPONIBLE,6
151,1,1,Funko Pocket Pop AMC The Walking Dead 3 pack en caja metalica,Set de 3 personajes Pocket Pop en caja metalica de la serie de AMC; The Walking Dead. El set inluye figuras de Rick Grimes; una Walker con osito de peluche y Daryl Dixon,10,DISPONIBLE,6
152,5,1,Banpresto DXF Craneking Naruto Shippudden Shinobi Relations 2 Sasuke,Figura marca Banpresto de Sasuke; con la ropa que es presentado en Naruto Shippudden,9.5,DISPONIBLE,6
153,4,1,SuperEmoFriends Lootcrate Stranger Things figura,Cuadro animado marca SuperEmoFriends Lootcrate de Eleven al momento final de la primera temporada de la serie de Netflix Stranger Things,8,DISPONIBLE,6
154,6,1,Quantum Mechanix qfig Marvel Jessica Jones,Figura marca Quantum Mechanix del personaje de Marvel Jessica Jones; de la serie de Netflix del mismo nombre,8,DISPONIBLE,6
155,6,1,Quantum Mechanix qfig Marvel Doctor Strange,Figura marca Quantum Mechanix del personaje de Marvel Doctor Strange; de la serie de Comics y pelicula del mismo nombre,9,DISPONIBLE,6
156,4,1,PhatMojo Lootcrate Mavel Collector's Series Thor vs. Loki figura, Figura de Thor contra Loki; como los representa Marvel de manera animada marca Phatmojo Lootcrate,10,DISPONIBLE,6
157,8,1,GoodSmile Nendoroid EZ The Legend of Zelda Link 001 Wind Waker Version,Figura marca GoodSmile Nendoroid de Link; asi como es representado en el videojuego de Nintendo La Leyenda de Zelda Wind Waker. Incluye espada; contenedor de corazon y varita de conduccion,9,RESERVADO,6
158,8,1,GoodSmile Nendoroid The Legend of Zelda Link 553 Majora's Mask 3D Version,Figura marca GoodSmile Nendoroid de Link; asi como es representado en el videojuego de Nintendo La Leyenda de Zelda La Mascara de Majora 3D. Incluye espada; mascaras y pocion.,9,DISPONIBLE,6
159,8,1,GoodSmile Nendoroid The Dark Knight Trilogy Batman 469 Hero's Edition,Figura marca GoodSmile Nendoroid de Batman; incluye capa; reflector y batarang,9,DISPONIBLE,6
160,8,1,GoodSmile Nendoroid Batman v Superman Superman 643 Justice Edition,Figura marca GoodSmile Nendoroid de Superman; incluye vision de calor; lanza con criptonita,10,DISPONIBLE,6
161,9,1,NECA Reel Toys Loot Crate Pacific Rim Gipsy Danger,Figura del Jaeger Gipsy Danger; de la pelicula titanes del pacifico; especificamente en la escena de pelea en el muelle,10,DISPONIBLE,5
162,10,1,Mega Bloks Halo UNSC Fireteam Crimson 97349,Set de figuras armables Mega Bloks de la franquicia de viedojuegos Halo; como el equipo rojo.,10,DISPONIBLE,5
163,4,6,Lootcrate Marvel Hulk tazon,Tazon decorativo con diseño del personaje de Marvel Thor; marca Lootcrate,9,DISPONIBLE,5
164,3,1,Furyu Attack on Titan Special Figure Levi,Marca no flexible del capitan Levi Ackermann; de la serie de anime y manga Shingieki no Kyojin; marca Furyu,8,DISPONIBLE,5
165,1,6,Funko Wonder Woman vaso transparente,Vaso transparente marca Funko con diseño del personaje de DC Wonder Woman,10,DISPONIBLE,2
